节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE887540,当地相关部门,PartyWithResponsibility,是,PartyWithResponsibility,4,2,1.75,1,1,0.95,0.8,0.0,2,社区4:2
LE319683,领导干部,PartyWithResponsibility,是,PartyWithResponsibility,13,1,0.95,1,0,0.95,0.0,0.0,1,社区13:1
LE909740,行业机构,PartyWithResponsibility,是,PartyWithResponsibility,4,3,2.7,2,1,1.9,0.8,0.0,3,社区4:3
LE926884,证监会,PartyWithResponsibility,是,PartyWithResponsibility,4,17,14.95,9,8,8.55,6.4,0.0,17,社区4:17
LE112358,第二十八条,Section,否,Section,4,1,0.2,1,0,0.2,0.0,0.0,1,社区4:1
LE273474,新闻发布,Action,否,Action,4,8,1.2,8,0,1.2,0.0,0.0,8,社区4:8
LE772669,第十二条,Section,否,Section,4,1,0.2,1,0,0.2,0.0,0.0,1,社区4:1
LE624041,阐释说明,Action,否,Action,4,8,1.2,8,0,1.2,0.0,0.0,8,社区4:8
LE259320,第二章,Chapter,否,Chapter,4,9,1.8,1,8,0.2,1.6,0.0,9,社区4:9
LE302785,第二十条,Section,否,Section,7,3,2.1,1,2,0.2,1.9,0.0,3,社区7:3
LE633903,第十四条,Section,否,Section,4,7,5.9,1,6,0.2,5.7,0.0,7,社区4:7
